filename,target
aclImdb/train/neg/8020_3.txt,0
aclImdb/train/pos/7018_10.txt,1
aclImdb/train/pos/10754_10.txt,1
aclImdb/train/neg/2066_2.txt,0
aclImdb/train/pos/1486_7.txt,1
aclImdb/train/neg/1666_2.txt,0
aclImdb/train/pos/8036_8.txt,1
aclImdb/train/neg/12112_2.txt,0
aclImdb/train/neg/6199_1.txt,0
aclImdb/train/neg/5282_4.txt,0
aclImdb/train/pos/7790_9.txt,1
aclImdb/train/pos/3556_10.txt,1
aclImdb/train/neg/798_1.txt,0
aclImdb/train/neg/8669_1.txt,0
aclImdb/train/pos/238_10.txt,1
aclImdb/train/neg/1088_1.txt,0
aclImdb/train/pos/11051_8.txt,1
aclImdb/train/neg/7286_2.txt,0
aclImdb/train/neg/906_1.txt,0
aclImdb/train/neg/4087_2.txt,0
aclImdb/train/pos/5701_8.txt,1
aclImdb/train/pos/1417_8.txt,1
aclImdb/train/neg/2843_2.txt,0
aclImdb/train/pos/9425_10.txt,1
aclImdb/train/pos/6198_7.txt,1
aclImdb/train/pos/11221_10.txt,1
aclImdb/train/pos/2170_9.txt,1
aclImdb/train/pos/150_8.txt,1
aclImdb/train/neg/10440_1.txt,0
aclImdb/train/pos/2882_9.txt,1
aclImdb/train/neg/8301_1.txt,0
aclImdb/train/neg/8228_1.txt,0
aclImdb/train/neg/9087_1.txt,0
aclImdb/train/pos/317_10.txt,1
aclImdb/train/neg/4804_2.txt,0
aclImdb/train/neg/11244_4.txt,0
aclImdb/train/neg/8409_4.txt,0
aclImdb/train/neg/8850_4.txt,0
aclImdb/train/pos/6223_7.txt,1
aclImdb/train/neg/957_2.txt,0
aclImdb/train/pos/7090_10.txt,1
aclImdb/train/neg/6225_1.txt,0
aclImdb/train/pos/10262_10.txt,1
aclImdb/train/pos/8929_8.txt,1
aclImdb/train/pos/10314_8.txt,1
aclImdb/train/neg/3691_3.txt,0
aclImdb/train/pos/1188_8.txt,1
aclImdb/train/neg/1623_1.txt,0
aclImdb/train/neg/2651_4.txt,0
aclImdb/train/pos/2030_9.txt,1
aclImdb/train/pos/8785_10.txt,1
aclImdb/train/neg/2479_3.txt,0
aclImdb/train/pos/12317_10.txt,1
aclImdb/train/neg/8748_4.txt,0
aclImdb/train/neg/5598_4.txt,0
